GeoId,Population
510594151001,1371
510594151002,1338
510594151003,915
510594152001,835
510594152002,635
510594152003,948
510594152004,598
510594153001,924
510594153002,1821
510594153003,1210
510594154011,1059
510594154012,2482
510594154013,1562
510594154021,865
510594154022,875
510594154023,1275
510594155001,1884
510594155002,874
510594155003,2050
510594155004,1816
510594156001,1610
510594156002,1122
510594157001,1120
510594157002,2760
510594158001,1395
510594158002,1998
510594158003,1637
510594159001,935
510594159002,2346
510594160001,1725
510594160002,3336
510594160003,1109
510594161001,2643
510594161002,1019
510594162001,1812
510594162002,3395
510594163001,916
510594163002,1070
510594201001,1345
510594201002,3083
510594202011,1348
510594202012,1727
510594202013,1060
510594202021,1836
510594202022,224
510594202031,2874
510594203001,2659
510594203002,1761
510594203003,919
510594203004,992
510594204001,1735
510594204002,1327
510594205011,2062
510594205021,1038
510594205022,682
510594205031,700
510594205032,1875
510594205033,857
510594206001,1655
510594206002,3312
510594207001,2681
510594207002,2216
510594208001,1052
510594208002,935
510594208003,1874
510594210011,2689
510594210021,806
510594210022,2813
510594210023,1517
510594211011,665
510594211012,3119
510594211013,2576
510594211021,1584
510594211022,2080
510594211031,1003
510594211032,2492
510594211033,974
510594211034,1279
510594212001,2101
510594213001,2565
510594213002,1429
510594214001,3885
510594214002,1133
510594214003,1813
510594214004,1782
510594215001,2634
510594215002,3246
510594215003,1778
510594216001,2697
510594216002,3144
510594216003,1133
510594217011,3490
510594217012,1602
510594217021,2584
510594217022,2627
510594218001,2006
510594218002,3610
510594218003,1458
510594219001,1354
510594219002,1465
510594219003,222
510594220001,3780
510594221011,4313
510594221012,1676
510594221013,1758
510594221021,2025
510594221022,2096
510594221023,1718
510594221024,1063
510594222011,1745
510594222012,1586
510594222021,2047
510594222022,2442
510594222023,2336
510594223011,1654
510594223012,1552
510594223021,990
510594223022,2460
510594223023,1081
510594223024,1530
510594224011,850
510594224012,1944
510594224021,3379
510594224022,667
510594224023,1422
510594224031,1369
510594224032,1696
510594301011,1388
510594301012,1288
510594301013,2115
510594301021,3053
510594302011,2552
510594302012,2244
510594302021,2105
510594302022,1575
510594302023,1647
510594302031,2716
510594304001,2504
510594304002,2605
510594304003,2188
510594305001,1749
510594306001,2250
510594306002,1044
510594306003,2016
510594306004,2623
510594307001,1801
510594307002,895
510594308011,1944
510594308012,2898
510594308021,1409
510594308022,1441
510594308023,1588
510594309011,2029
510594309012,2349
510594309021,1348
510594309022,2266
510594310011,1923
510594310012,1191
510594310013,2046
510594310021,2413
510594313001,1116
510594313002,1833
510594313003,1431
510594314001,1225
510594314002,1591
510594314003,2120
510594315001,2144
510594315002,3485
510594316001,5770
510594316002,1098
510594316003,1844
510594318011,2175
510594318012,2038
510594318021,1982
510594318022,1486
510594319001,1646
510594319002,1483
510594320001,2453
510594320002,1301
510594321001,1397
510594321002,2426
510594322011,2319
510594322021,2887
510594322022,1862
510594323001,2403
510594323002,846
510594323003,1863
510594324011,2194
510594324012,1300
510594324021,1467
510594324022,1781
510594324023,1532
510594325001,1500
510594325002,2200
510594325003,2113
510594326001,2410
510594326002,2374
510594327011,3086
510594327021,2549
510594327022,1827
510594328001,2239
510594401001,1334
510594401002,2278
510594401003,2564
510594401004,1166
510594402011,3352
510594402021,1507
510594402022,707
510594402023,2097
510594402024,2058
510594403001,1267
510594403002,1491
510594405011,2260
510594405012,1614
510594405013,1358
510594405021,5481
510594405022,1227
510594405023,1034
510594406001,3069
510594407011,2942
510594407021,2432
510594407022,1284
510594407023,1792
510594408001,3149
510594408002,1267
510594408003,1837
510594501001,556
510594501002,3087
510594501003,463
510594501004,1109
510594502001,2662
510594502002,1746
510594503001,1038
510594503002,827
510594503003,2672
510594503004,802
510594504001,962
510594504002,1662
510594505001,1168
510594505002,1769
510594506011,1103
510594506012,1406
510594506013,1195
510594506014,597
510594506021,1240
510594506022,2303
510594506023,1263
510594507011,2881
510594507021,3338
510594507022,1714
510594508001,1097
510594508002,1257
510594508003,956
510594509001,870
510594509002,823
510594510001,1075
510594510002,1696
510594511001,1034
510594511002,1358
510594512001,866
510594512002,784
510594513001,1392
510594513002,1133
510594514001,2049
510594514002,1110
510594515011,1403
510594515012,1154
510594515013,1860
510594515014,1155
510594515021,2431
510594515022,2723
510594516011,2594
510594516012,1135
510594516013,580
510594516014,1492
510594516021,917
510594516022,1803
510594518001,1949
510594518002,1991
510594519001,1339
510594519002,2261
510594519003,1328
510594520001,3128
510594521011,1153
510594521012,2042
510594521013,2072
510594521021,3359
510594522001,2961
510594522002,1878
510594522003,1180
510594522004,727
510594523011,2421
510594523012,1242
510594523021,3184
510594523022,2234
510594524001,1334
510594524002,1059
510594524003,1255
510594524004,1906
510594524005,1495
510594525011,965
510594525012,1715
510594525013,1027
510594525021,900
510594525022,2219
510594525023,2284
510594526001,4212
510594526002,2828
510594526003,737
510594527001,2153
510594527002,2724
510594527003,633
510594528011,1034
510594528012,2438
510594528013,1293
510594528014,470
510594528021,1571
510594528022,1445
510594601001,1346
510594601002,1824
510594601003,1128
510594602001,1960
510594602002,2270
510594603001,600
510594603002,2303
510594604001,1615
510594604002,2460
510594604003,1244
510594605011,2557
510594605021,3111
510594605022,2426
510594605023,1699
510594606001,1615
510594606002,2314
510594607011,1325
510594607012,2164
510594607021,1237
510594607022,1898
510594607023,1443
510594608001,1236
510594608002,2053
510594609001,2572
510594610001,2561
510594611001,2334
510594611002,2133
510594611003,2909
510594612011,2006
510594612012,1762
510594612013,917
510594612021,1471
510594612022,3243
510594612023,1689
510594615001,1123
510594615002,792
510594615003,1719
510594615004,1890
510594615005,1302
510594616011,1451
510594616012,1871
510594616013,3719
510594616014,960
510594616021,3080
510594616022,1214
510594616023,1681
510594617001,2889
510594617002,2387
510594617003,1277
510594618011,1554
510594618021,1798
510594618022,2477
510594618023,921
510594619011,1630
510594619012,1991
510594619021,2001
510594701001,664
510594701002,1896
510594703001,2491
510594703002,945
510594704001,1218
510594704002,1171
510594704003,835
510594704004,1661
510594705001,1159
510594705002,2069
510594705003,870
510594705004,1081
510594706001,930
510594706002,1663
510594707001,932
510594707002,1157
510594707003,1125
510594707004,1177
510594707005,1057
510594708001,893
510594708002,2151
510594709001,2004
510594709002,1523
510594709003,883
510594709004,1060
510594709005,1743
510594710001,2181
510594711001,1057
510594711002,1163
510594711003,779
510594711004,2047
510594711005,1662
510594712011,1738
510594712012,348
510594712013,1270
510594712021,1629
510594712022,2122
510594712023,1276
510594713011,2064
510594713012,2414
510594713031,839
510594713032,1401
510594713033,2148
510594713041,1774
510594714011,1512
510594714012,2292
510594714021,1983
510594714022,1358
510594801001,1347
510594801002,1349
510594801003,835
510594801004,464
510594802011,1639
510594802012,1935
510594802013,1087
510594802021,3704
510594802022,1966
510594802031,2833
510594803001,3344
510594803002,659
510594803003,3050
510594804011,1571
510594804012,2564
510594804021,2244
510594804022,2374
510594804023,931
510594805011,663
510594805012,1235
510594805013,1304
510594805021,2931
510594805022,578
510594805023,2347
510594805031,1234
510594805032,1950
510594805041,2008
510594805051,1290
510594805052,1105
510594805053,793
510594808011,1742
510594808012,2533
510594808013,896
510594808021,1022
510594808022,1933
510594808023,764
510594809011,774
510594809012,2809
510594809013,2767
510594809014,911
510594809021,2805
510594809022,1273
510594809031,1017
510594809032,1584
510594809033,1702
510594810001,2733
510594810002,3670
510594811011,2597
510594811021,3560
510594811022,384
510594811031,1811
510594811032,1817
510594811041,1568
510594811042,1052
510594811043,544
510594811051,1774
510594811052,2203
510594811053,1437
510594811061,980
510594811062,2022
510594811063,2435
510594812011,1154
510594812021,2572
510594812022,1547
510594812023,1969
510594814001,1139
510594814002,2505
510594814003,2027
510594814004,1533
510594815001,2252
510594816001,1904
510594816002,1510
510594817011,2045
510594817012,2549
510594817013,1748
510594817021,1801
510594817022,2036
510594817023,719
510594819001,2710
510594819002,1475
510594819003,2039
510594820011,1111
510594820012,2780
510594820013,780
510594820021,1734
510594820022,1532
510594821001,1459
510594821002,2048
510594822011,2534
510594822021,932
510594822022,968
510594822023,923
510594822024,1317
510594822031,934
510594822032,920
510594822033,1033
510594822034,1544
510594823011,1969
510594823012,2798
510594823021,2300
510594823022,2487
510594823031,1235
510594823032,918
510594823033,1418
510594824001,2235
510594825011,2547
510594825012,1107
510594825013,4401
510594825014,1779
510594825015,865
510594825021,756
510594825022,2110
510594825031,1947
510594825032,862
510594825033,2049
510594825041,1905
510594825042,1860
510594825043,1280
510594826011,1828
510594826012,3620
510594826013,1741
510594826021,1955
510594826022,1838
510594826023,1721
510594826024,1890
510594901011,1585
510594901012,1964
510594901013,2082
510594901031,1693
510594901032,2273
510594901033,1518
510594901034,1147
510594905011,1372
510594905012,2031
510594905021,2129
510594905022,1548
510594905023,3002
510594910001,1831
510594911011,1740
510594911012,2037
510594911021,1760
510594911022,1430
510594911031,1954
510594911032,2370
510594911033,1131
510594911034,755
510594912011,802
510594912012,2565
510594912013,2066
510594912014,796
510594912021,1842
510594913011,726
510594913012,2711
510594913013,1670
510594913014,2365
510594913021,2460
510594913022,951
510594913031,1546
510594913032,2919
510594914011,1603
510594914012,1702
510594914013,884
510594914014,503
510594914021,2390
510594914022,2281
510594914031,2460
510594914032,1304
510594914041,1359
510594914042,2487
510594914051,2825
510594915011,3737
510594915012,2087
510594915013,1557
510594915021,3106
510594915022,2413
510594915023,1425
510594916011,1094
510594916012,2510
510594916013,1327
510594916021,3109
510594916022,2510
510594917011,757
510594917012,1897
510594917013,1395
510594917021,1074
510594917022,1567
510594917023,2073
510594917024,872
510594917025,1625
510594917031,2378
510594917032,1195
510594917033,1398
510594917041,1188
510594917042,1546
510594917043,2203
510594917051,3338
510594918011,1233
510594918012,1324
510594918021,1455
510594918022,1532
510594918031,2755
510594918032,1369
510594918033,3030
510594920001,2500
510594920002,2163
510594920003,1957
510594921001,1975
510594921002,1455
510594921003,1785
510594921004,950
510594922011,1942
510594922012,1091
510594922021,1576
510594922022,2965
510594922023,1934
510594922031,723
510594922032,1476
510594922033,1900
510594923001,1809
510594923002,1483
510594924001,2091
510594924002,2685
510594925001,1995
510594925002,1860
510599801001,5
510599802001,0
510599803001,0
516003001001,1511
516003001002,1170
516003001003,1955
516003001004,1031
516003002001,797
516003002002,1576
516003002003,1126
516003002004,1320
516003003001,1764
516003003002,2120
516003003003,1462
516003004001,1582
516003004002,745
516003004003,1805
516003005001,897
516003005002,1224
516003005003,1446
